,SriLanka_creole,phonetic_transcription,Portuguese_definition,Portuguese_IPA,English_definition,pos,Related_languages,pt_related annotations,sources,original_full_entry,original_Portuguese_definition,original_linguistic_notes,page
1440,Metade,metade,"metade, meio",,"half, middle",noun,,,,"Metade, metai {Br. 2), metade; meio {adj.).","metade, meio",,164.0
1441,metai,metai,"metade, meio",,"half, middle",noun,,,,"Metade, metai {Br. 2), metade; meio {adj.).","metade, meio",,164.0
1442,Methodisto,metodisto,metodista,,methodist,noun,,,,"Methodisto, methodista. Gfr. escrito, evangelisto.",methodista,,164.0
1443,Milagrioso,milagɾiozo,milagroso,,miraculous,adjective,,,,"Milagrioso (C. ^.), milagroso. Cfr. guerrioso.",milagroso,,164.0
1444,Mail,mail,milha,,mile,noun,English,,,"Mile (pron. mail), milha.— Ingl.",milha,,164.0
1445,Militàrio,militaːɾio,militar,mɨ.li.ˈtaɾ,military,adjective,,,,"Militàrio {Br. 2), militar.",militar,,164.0
1446,Millions,milions,milhões,,millions,numeral,English,,,"Millions, milhões. — Ingl.",milhões,,164.0
1447,Mils,mils,"mil, milhares",,"thousand, thousands",numeral,,,,"Mils, mil; milhares.","mil, milhares",,164.0
1448,Mimôri,mimoːɾi,memória,mɨ.ˈmɔ.ɾjɐ,memory,noun,"Macao creole, Mangalor creole",,,"Mimôri, memoria. Dial. mangmac. mêmori. Cfr. istôri.",memoria,,164.0
1449,Minguação,minguasaːo,míngua,,scarcity,noun,,,,"Minguação, mingua.",mingua,,164.0
1450,Minha,miɲa,"meu, minha",,"my, mine",POSS,,,,"Minha, minhè, meu (p. us.), minha.","meu, minha",pouco usado,164.0
1451,minhè,miɲeː,"meu, minha",,"my, mine",POSS,,,,"Minha, minhè, meu (p. us.), minha.","meu, minha",pouco usado,164.0
1452,Ministeiro,ministeiɾo,ministério,mɨ.niʃ.ˈtɛ.ɾju,ministry,noun,,,,"Ministeiro (TV. J"".), ministério.",ministério,,164.0
1453,Ministração,ministɾasaːo,ministério,mɨ.niʃ.ˈtɛ.ɾju,ministry,noun,,,,"Ministraçào, ministério. — Deriv. reg.",ministério,derivado,164.0
1454,Minté,minteː,mentir,,lie,verb,,,,"Minté, mentir. Minteira, mentira (t. us.). Minteroso, mintroso, mentiroso.",mentir,,164.0
1455,Minteira,minteiɾa,mentira,mẽ.ˈti.ɾɐ,lie,noun,,,,,mentira,,
1456,Minteroso,minteɾozo,mentiroso,,liar,adjective,,,,,mentiroso,,
1457,mintroso,mintɾozo,mentiroso,,liar,adjective,,,,,mentiroso,,
1458,Minuito,minuito,minuto,,minute,noun,English,,,"Minuito (Br. 2), minuto.— Infl. do ingl. minuit.",minuto,,164.0
1459,Mira,miɾa,mirra,ˈmi.Rɐ,myrrh,noun,,,,"Mira, myrrha.",mirra,,164.0
1460,Misaravel,mizaɾaʋel,miserável,mi.zɨ.ˈɾa.vɛɫ,miserable,adjective,,,,"Misaravel, misravel, miserável.",miserável,,164.0
1461,misravel,mizɾaʋel,miserável,mi.zɨ.ˈɾa.vɛɫ,miserable,adjective,,,,"Misaravel, misravel, miserável.",miserável,,164.0
1462,Misinha,miziɲa,"mezinha, remédio em geral",,"tradicional medicine, medicine in general",noun,Macao creole,Dialectal Portuguese,,"Misinha, mezinha, remédio em geral. Dial. mac. e port. Dialetal Portuguese. na signif.","mezinha, remédio em geral",,164.0
1463,Misricordia,mizɾikoɾdia,misericórdia,mi.zɨ.ɾi.ˈkɔɾ.djɐ,mercy,noun,,,,"Misricordia, misrecordia (fi7«í.), misericórdia. Misri-oordioso, misericordioso.",misericórdia,,164.0
1464,misrecordia,mizɾekoɾdia,misericórdia,mi.zɨ.ɾi.ˈkɔɾ.djɐ,mercy,noun,,,,"Misricordia, misrecordia (fi7«í.), misericórdia. Misri-oordioso, misericordioso.",misericórdia,,164.0
1465,Misricordioso,mizɾikoɾdiozo,misericordioso,,merciful,noun,,,,,misericordioso,,
1466,Misté,misteː,"convém, deve",,it should,verb,"Cochin creole, Macao creole, Mangalor creole",,,"Misté, mista, é mister; convém, deve. Mistia, era mister; devia. Mistem (poet.), é mister ser. Mistê: dial. cochmangmac.","convém, deve",poético,164.0
1467,mista,mista,"convém, deve",,it should,verb,"Cochin creole, Macao creole, Mangalor creole",,,"Misté, mista, é mister; convém, deve. Mistia, era mister; devia. Mistem (poet.), é mister ser. Mistê: dial. cochmangmac.","convém, deve",poético,164.0
1468,Mistia,mistia,devia,,it should,verb,,,,,devia,,
1469,Mistem,mistem,deverá,,it should,verb,,,,,deverá,,
1470,Mistrá,mistɾaː,misturar,miʃ.tu.ˈɾaɾ,shuffle,verb,,,,"Mistrá, misturar.",misturar,,164.0
1471,Moça,mosa,"serva, escrava",,"handmaid, slave",noun,,,,"Moça, serva, escrava.","serva, escrava",,164.0
1472,Moção,mosaːo,"monção, estação",,"monsoon, season",noun,,,,"Moção, monção, estação. Cfr. mação. «Monçam ou monção designava geralmente o vento dominante em períodos determinados, mas a palavra árabe mansim, da qual se derivou, significava propriamente estação». Conde de Ficalho em nota a Gare.","monção, estação",,164.0
1473,Mofiná,mofinaː,amofinar-se,,fuss,verb,,,,"Mofina, amofinar-se.",amofinar-se,,164.0
1474,Moito,mojto,muito,ˈmwĩ.tu,very,adjective,,,,"Moito, muito (mais us.).",muito,,164.0
1475,Moleira,moleiɾa,mioleira,,brain,noun,,,,"Moleira, mioleira. Cfr. pri-soneiro.",mioleira,,164.0
1476,Molgá,molgaː,amolgar,,dent,verb,,,,"Molgá, amolgar.",amolgar,,164.0
1477,Molyà,molʲaː,molhar,,wet,verb,,,,"Moljà, molhar. Cfr. espaljâ.",molhar,,164.0
1478,Molya,molʲa,mulher,,woman,noun,,,,"Molja, mujà, mulher (t. us.).",mulher,,164.0
1479,mujà,mud̠ʒaː,mulher,,woman,noun,,,,"Molja, mujà, mulher (t. us.).",mulher,,164.0
1480,Mónster,moːnsteɾ,monstro,,monster,noun,English,,,"Mónster, monstro. — Ingl. ou por metathese.",monstro,,164.0
1481,Montanho,montaɲo,montanha,mõ.ˈtɐ.ɲɐ,mountain,noun,,,,"Montanho, montanha (t. us.).",montanha,,164.0
1482,Mooi,mooj,tia,,aunt,noun,Dutch,,,"Mooy (pron. mõi), tia. — Holl. moei.",tia,,164.0
1483,Moradè,moɾadeː,morada,,address,noun,,,,"Moradè, morado, morando, morança, moradura, morada. Cfr. diividança, cuidança.",morada,,164.0
1484,morado,moɾado,morada,,address,noun,,,,"Moradè, morado, morando, morança, moradura, morada. Cfr. diividança, cuidança.",morada,,164.0
1485,morando,moɾando,morada,,address,noun,,,,"Moradè, morado, morando, morança, moradura, morada. Cfr. diividança, cuidança.",morada,,164.0
1486,morança,moɾansa,morada,,address,noun,,,,"Moradè, morado, morando, morança, moradura, morada. Cfr. diividança, cuidança.",morada,,164.0
1487,moradura,moɾaduɾa,morada,,address,noun,,,,"Moradè, morado, morando, morança, moradura, morada. Cfr. diividança, cuidança.",morada,,164.0
1488,Morra,mora,morar,mu.ˈɾaɾ,live,verb,,,,"Morra, morar. Cfr. chorrá, virrá.",morar,,164.0
1489,Morrendo,morendo,moribundo,,dying,noun,,,,"Morrendo, moribundo. — Infl. do ingl.",moribundo,,164.0
1490,Morro,moro,moiro,,moorish,noun,Macao creole,,,"Morro, moiro. Dial. mac. moro.",moiro,,164.0
1491,Mortajo,moɾtad̠ʒo,mortalha,muɾ.ˈta.ʎɐ,shroud,noun,,,,"Mortajo, mortalha. Cfr. tra-vajo, ojo.",mortalha,,164.0
1492,Mortià,moɾtiaː,amortalhar,ɐ.muɾ.tɐ.ˈʎaɾ,shroud,verb,,,,"Mortià, amortalhar. Cfr. em-briá, traviá.",amortalhar,,164.0
1493,Mostárdè,mostaːɾdeː,mostarda,muʃ.ˈtaɾ.dɐ,mustard,noun,,,,"Mostàrdè, mostarda.",mostarda,,164.0
1494,Mourdé,mouɾdeː,morder,muɾ.ˈdeɾ,bite,verb,,,,"Mourdé, morder (t. us.). Mourdindo (A^. 7"".), o morder.",morder,,164.0
1495,Mourdindo,mouɾdindo,o morder,,bite,noun,,,Novo testamento,,o morder,,
1496,Movà,moʋaː,mover,mu.ˈveɾ,move,verb,,,,"Mova, mover.",mover,,164.0
1497,Muê,mueː,moer,ˈmweɾ,mill,verb,,,,"Muê, muá, moer.",moer,,164.0
1498,muá,muaː,moer,ˈmweɾ,mill,verb,,,,"Muê, muá, moer.",moer,,164.0
1499,Mudana,mudana,mundana: meretriz,,whore,adjective,,,,"Mudana, mundana: meretriz. Cfr. mercada.",mundana: meretriz,,164.0
1500,Mudáncè,mudaːnseː,mudança,mu.ˈdɐ̃.sɐ,change,noun,,,,"Mudáncè, mudação, mudança. Cfr. cuidaçáo.",mudança,,164.0
1501,mudação,mudasaːo,mudança,mu.ˈdɐ̃.sɐ,change,noun,,,,"Mudáncè, mudação, mudança. Cfr. cuidaçáo.",mudança,,164.0
1502,Mudano,mudano,mundano,mũ.ˈdɐ.nu,mundane,adjective,,,Bautismo,"Mudano, mundano. Muduco {Baut. ""ii)...: Mujà, V. MOLJÁ. Mulhàra (5. C), mulher. Cfr. mára. Mulher-fíjies,mulher e filhos.",mundano,,165.0
1503,Mulhàra,muʎaːɾa,mulher,,woman,noun,,,Istori de San Clear,,mulher,,
1504,Mulvado,mulʋado,malvado,,evil,adjective,,,"O Bruffador, i periódico","Malvado [Br. i), malvado. Mundado (p. us.), mudado. Mundoso, mundano. Cfr. alegroso, impioso. Murdô, murdá, morder, V.",malvado,,165.0
1505,Mundado,mundado,mudado,,changed,adjective,,,,,mudado,pouco usado,
1506,Mundoso,mundozo,mundano,mũ.ˈdɐ.nu,mundane,adjective,,,,,mundano,,
1507,Murguiá,muɾgiaː,mergulhar,mɨɾ.ɡu.ˈʎaɾ,dive,verb,,,,"Murguiá, mergulhar. Mur-",mergulhar,,165.0
1508,Murguiaçâo,muɾgiasaːo,"mergulho, imersão",,"diving, immersion",noun,,,,"guiaçâo, mergulho; immersão. Cfr. EMBRI.Í.","mergulho, immersão",,165.0
1509,Murindo,muɾindo,morrendo,,dying,GER,,,,Murindo. V. morrendo.,morrendo,,165.0
1510,Murmerà,muɾmeɾaː,murmurar,,murmur,verb,,,,"Murmerà, murmurar.",murmurar,,165.0
1511,Murmeração,muɾmeɾasaːo,murmuração,,murmuring,noun,,,,"Murmeração, murmuração.",murmuração,,165.0
1512,Murré,mureː,morrer,,die,verb,Macao creole,,,"Murré, morrer. Dial. mac. mure.",morrer,,165.0
1513,Musicante,muzikante,músico,,musician,noun,,,,"Musicante, musico.",musico,,165.0
1514,Musico,muziko,música,,song,noun,,,,"Musico, musica.",musica,,165.0
1515,Mustrà,mustɾaː,mostrar,muʃ.ˈtɾaɾ,collapse,verb,,,,"Mnstrà, mostrar.",mostrar,,165.0
1516,Mutúra,mutuːɾa,monturo,,dunghill,noun,,,,"Mutúra, monturo. Cfr. moção, mudano.",monturo,,165.0
1517,Mystéria,misteːɾia,mistério,miʃ.ˈtɛ.ɾju,mystery,noun,,,,"Mystéria, mysterio. Cfr. adultéria.",mysterio,,165.0
1518,Nacemento,nasemento,nascimento,,birth,noun,,Dialetal Portuguese Algarve,,"Nacemento, nascimento.— De nacê. Dial. algarv.",nascimento,,165.0
1519,Nada,nada,"nada, nenhum",,"nothing, none",pronoun,,,,"Nada, nada; nenhum (t, us.).","nada, nenhum",,165.0
1520,Nada,nada,não há de,,wiIl not,verb,Macao creole,,,"Nada, nade, nandè, não ha de. Partic. do fut. neg. Nadia, não devia; não havia de. Partic. do cond. neg. Dial. mac. nadi. Não ha de &gt; *nã-a-de &gt; *na-a-de &gt; nade. Não-hão de &gt; *nã-ã-de &gt;&gt; nande.",não há de,,165.0
1521,nadè,nadeː,não há de,,wiIl not,verb,Macao creole,,,"Nada, nade, nandè, não ha de. Partic. do fut. neg. Nadia, não devia; não havia de. Partic. do cond. neg. Dial. mac. nadi. Não ha de &gt; *nã-a-de &gt; *na-a-de &gt; nade. Não-hão de &gt; *nã-ã-de &gt;&gt; nande.",não há de,,165.0
1522,nandè,nandeː,não há de,,wiIl not,verb,Macao creole,,,"Nada, nade, nandè, não ha de. Partic. do fut. neg. Nadia, não devia; não havia de. Partic. do cond. neg. Dial. mac. nadi. Não ha de &gt; *nã-a-de &gt; *na-a-de &gt; nade. Não-hão de &gt; *nã-ã-de &gt;&gt; nande.",não há de,,165.0
1523,Nadia,nadia,"não devia, não havia de",,should not,verb,,,,,não devia, não havia de,
1524,Namais,namais,"somente, unicamente",,only,adverb,Macao creole,,,"Namais, namás, somente, unicamente. Namás: dial. mac. — De não mais &gt; *wã mais &gt;• namais &gt; namás. «Onde estava com cincoenta não mais». F. Lopes.","somente, unicamente",,165.0
1525,namás,namaːs,"somente, unicamente",,only,adverb,Macao creole,,,"Namais, namás, somente, unicamente. Namás: dial. mac. — De não mais &gt; *wã mais &gt;• namais &gt; namás. «Onde estava com cincoenta não mais». F. Lopes.","somente, unicamente",,165.0
1526,Nan,,não,ˈnɐ̃w̃,no,adverb,,,,"Nan (fórm. mod.), não.",não,forma moderna,165.0
1527,Natal-dia,natal dia,dia do Natal,,christmas day,noun,,,,"Naíal-dia, dia do Natal.",dia do Natal,,165.0
1528,Nau-quebrado,nau kebɾado,náufrago,,shipwrecked,noun,,,,"Nau-quebrado, náufrago.",náufrago,,165.0
1529,Navigà,naʋigaː,navegar,nɐ.vɨ.ˈɡaɾ,sail,verb,,,,"Navigà, navegar.",navegar,,165.0
1530,Necestade,nesestade,necessidade,nɨ.sɨ.si.ˈda.dɨ,need,noun,,,,"Neoestade, (p. us.). V. nis-",necessidade,pouco usado,165.0
1531,Negligá,negligaː,negligenciar,,neglect,verb,English,,,"Negligá, negligenciar.—Infl. do ingl. to neglectf",negligenciar,,165.0
1532,Negócia,negoːsia,negócio,nɨ.ˈɡɔ.sju,business,noun,,,,"Negoceia, negocio.",negócio,,165.0
1533,Nehum,neum,nenhum,,none,pronoun,"Capeverdean creole, Cochin creole",Dialectal Portuguese,,"Nehum, nihum, nium, ne-hum. Nehum: dial. coch. Dial. cab. neún ou niún. — Port. Dialetal Portuguese.",nenhum,,165.0
1534,nihum,nium,nenhum,,none,pronoun,"Capeverdean creole, Cochin creole",Dialectal Portuguese,,"Nehum, nihum, nium, ne-hum. Nehum: dial. coch. Dial. cab. neún ou niún. — Port. Dialetal Portuguese.",nenhum,,165.0
1535,nium,nium,nenhum,,none,pronoun,"Capeverdean creole, Cochin creole",Dialectal Portuguese,,"Nehum, nihum, nium, ne-hum. Nehum: dial. coch. Dial. cab. neún ou niún. — Port. Dialetal Portuguese.",nenhum,,165.0
1536,Nemistê,nemisteː,"não é mister, não se deve",,"it is not necessary, it must not",verb,Macao creole,,,"Nemistê, nemistà, nimisté (p. us.), numistô, não é mister, não se deve. Dial. mac. na-mistê. — De não mistè &gt; *nã mistê &gt;&gt; nemistê.","não é mister, não se deve",pouco usado,165.0
1537,nemistà,nemistaː,"não é mister, não se deve",,"it is not necessary, it must not",verb,Macao creole,,,"Nemistê, nemistà, nimisté (p. us.), numistô, não é mister, não se deve. Dial. mac. na-mistê. — De não mistè &gt; *nã mistê &gt;&gt; nemistê.","não é mister, não se deve",pouco usado,165.0
1538,nimisté,nimisteː,"não é mister, não se deve",,"it is not necessary, it must not",verb,Macao creole,,,"Nemistê, nemistà, nimisté (p. us.), numistô, não é mister, não se deve. Dial. mac. na-mistê. — De não mistè &gt; *nã mistê &gt;&gt; nemistê.","não é mister, não se deve",pouco usado,165.0
1539,numistè,numisteː,"não é mister, não se deve",,"it is not necessary, it must not",verb,Macao creole,,,"Nemistê, nemistà, nimisté (p. us.), numistô, não é mister, não se deve. Dial. mac. na-mistê. — De não mistè &gt; *nã mistê &gt;&gt; nemistê.","não é mister, não se deve",pouco usado,165.0
1540,Nérva,neːɾʋa,nervo,,nerve,noun,,,,"Nérva, nervo.",nervo,,165.0
1541,Nigrinha,nigɾiɲa,negrinha,,black girl,noun,,,Voz de Verdade,"Nigrinha, ( V. de V.), negrinha.",negrinha,,165.0
1542,Nimito,nimito,limite,,limit,noun,,,Elucidário de Viterbo,"Nimito, nimíta, limite. Ni-mità, limitar; determinar, ordenar; nomear, designar; decidir, sentenciar. Nimitação, limitação; determinação. — Por assimil. Elucid.: limitado = declarado, estabelecido, ordenado.",limite,,165.0
1543,nimíta,nimiːta,limite,,limit,noun,,,Elucidário de Viterbo,"Nimito, nimíta, limite. Ni-mità, limitar; determinar, ordenar; nomear, designar; decidir, sentenciar. Nimitação, limitação; determinação. — Por assimil. Elucid.: limitado = declarado, estabelecido, ordenado.",limite,,165.0
1544,Nimità,nimitaː,"limitar, determinar, ordenar, nomear, designar, decidir, sentenciar",,"limit, determine, order, name, designate, decide, sentence",verb,,,,,"limitar, determinar, ordenar, nomear, designar, decidir, sentenciar",,
1545,Nimitação,nimitasaːo,"limitação, determinação",,"limitation, determination",noun,,,,,"limitação, determinação",,
1546,Ninquer,ninkeɾ,não quero,,do not want to,verb,Mangalor creole,,,"Ninquer, não quero, não queres, etc. Ninqueria, não queria. Dial. mang. niquer.",não quero,,165.0
1547,Ninqueria,ninkeɾia,não queria,,did not want to,verb,,,,,não queria,,
1548,Nistá,nistaː,necessitar,nɨ.sɨ.si.ˈtaɾ,need,verb,,,,"Nistá, necessitar; ser necessário. Nistade, necessidade.",necessitar,,165.0
1549,Nistade,nistade,necessidade,nɨ.sɨ.si.ˈda.dɨ,need,noun,,,,,necessidade,,
1550,Nó,noː,nu,ˈnu,naked,noun,,,,"Nó, nuó, nu. Padre Almeida tem mio.",nu,,165.0
1551,nuó,nuoː,nu,ˈnu,naked,noun,,,,"Nó, nuó, nu. Padre Almeida tem mio.",nu,,165.0
1552,Nóber,noːbeɾ,nobre,ˈnɔ.bɾɨ,noble,adjective,,,,"Nóber (fórm. mod.), nobre.",nobre,forma moderna,166.0
1553,Nobilidade,nobilidade,nobreza,,nobility,noun,English,,"O Bruffador, ii periódico","Nobilidade, {Br. 2), nobreza. — Ingl. nobility.",nobreza,,166.0
1554,Nobréza,nobɾeːza,"nobreza, nobre",,"nobility, noble",noun,,,,"Nobreza, nobreza; nobre.","nobreza, nobre",,166.0
1555,Nocente,nosente,inocente,i.nu.ˈsẽ.tɨ,innocent,adjective,,,,"Nocente, nocenti, inno-cente.",inno-cente,,166.0
1556,nocenti,nosenti,inocente,i.nu.ˈsẽ.tɨ,innocent,adjective,,,,"Nocente, nocenti, inno-cente.",inno-cente,,166.0
1557,Nogo,nogo,novo,ˈno.vu,new,adjective,,,"O Bruffador, i periódico","Nogo (Br. I ), novo. Cfr. ogo, avoá.",novo,,166.0
1558,Noivu,nojʋu,noivo,,fiancé,noun,,,,"Noivu, noivo.",noivo,,166.0
1559,Nómber,noːmbeɾ,número,,number,noun,English,,,"Nómber, numero.—Do ingl. number ou de numbro, como sómber.",número,,166.0
1560,Nompodé,nompodeː,não pode,,cannot,verb,,,,"Nompodé, nompôdi, não pode. Nompodia, não podia.",não pode,,166.0
1561,nompôdi,nompoːdi,não pode,,cannot,verb,,,,"Nompodé, nompôdi, não pode. Nompodia, não podia.",não pode,,166.0
1562,Nompodia,nompodia,não podia,,could not,verb,,,,,não podia,,
1563,Nona,nona,"dona, senhora respeitável, avó",,"lady, respectable lady, grandmother",noun,"Cochin creole, Diu creole, Singapore creole, Malay",,,"Nona, dona; senhora respeitável ; avó. Dial. cochde Mahé, divsingp. T. em ma-laio. — Por assímil.","dona, senhora respeitável, avó",,166.0
1564,Nôtis,noːtis,aviso,,notice,noun,English,,,Notice (pron. nôtis)aviso.— Ingl.,aviso,,166.0
1565,Nonca,nonka,nunca,ˈnũ.kɐ,never,adverb,Cochin creole,,Elucidário de Viterbo,"Nonca, nonco, nuca, núcu (fórm. mod.). V. nunca. — A^m-ca: dial. coch. Elucid.: nonca, nonco.",nunca,,166.0
1566,nonco,nonko,nunca,ˈnũ.kɐ,never,adverb,Cochin creole,,Elucidário de Viterbo,"Nonca, nonco, nuca, núcu (fórm. mod.). V. nunca. — A^m-ca: dial. coch. Elucid.: nonca, nonco.",nunca,,166.0
1567,nuca,nuka,nunca,ˈnũ.kɐ,never,adverb,Cochin creole,,Elucidário de Viterbo,"Nonca, nonco, nuca, núcu (fórm. mod.). V. nunca. — A^m-ca: dial. coch. Elucid.: nonca, nonco.",nunca,,166.0
1568,núcu,nuːku,nunca,ˈnũ.kɐ,never,adverb,Cochin creole,,Elucidário de Viterbo,"Nonca, nonco, nuca, núcu (fórm. mod.). V. nunca. — A^m-ca: dial. coch. Elucid.: nonca, nonco.",nunca,,166.0
1569,Nono,nono,avô,ɐ.ˈvo,grandfather,noun,Capeverdean creole,,,"Nono, avô. Dial. cab. dono.",avô,,166.0
1570,Nossè,noseː,nossa,,our,POSS,,,,"Nossè, nossa (mais us.).",nossa,,166.0
1571,Nossotros,nosotɾos,nós outros,,we,pronoun,,,,"Nossotros, nós outros; nós (p. us.).",nós outros,pouco usado,166.0
1572,Notáris,notaːɾis,"notário, tabelião",,notary,adjective,Dutch,,,"Notáris, notário, tabel-lião. —Holl.","notário, tabelião",,166.0
1573,Novas-papella,noʋas papela,"jornal, periódico",,newspaper,noun,English,,,"Novas-papella, jornal, periódico. — Ingl. news-paper.","jornal, periódico",,166.0
1574,Novémber,noʋeːmbeɾ,novembro,,november,noun,English,,,"Novémber, novembro. — Ingl.",novembro,,166.0
1575,Nóves,noːʋes,novas,,news,adjective,Cochin creole,,,"Noves, novas (t. us.). Dial. coch.",novas,,166.0
1576,Nóvis,noːʋis,nuvem,ˈnu.vɐ.ɐ̃j̃,cloud,noun,,,,Novis (C A.)nuvem.,nuvem,,166.0
1577,Nué,nueː,não sou,,am not,verb,,Minho,,"Nué, nuvé, nuá, (p. us.), não sou, etc. — De náo é. No Minho num é.",não sou,pouco usado,166.0
1578,nuvé,nuʋeː,não sou,,am not,verb,,Minho,,"Nué, nuvé, nuá, (p. us.), não sou, etc. — De náo é. No Minho num é.",não sou,pouco usado,166.0
1579,nuá,nuaː,não sou,,am not,verb,,Minho,,"Nué, nuvé, nuá, (p. us.), não sou, etc. — De náo é. No Minho num é.",não sou,pouco usado,166.0
1580,Num,num,não,ˈnɐ̃w̃,no,adverb,,Portuguese-based creoles of Indian mainland,,"Num, nun, não. Numpodé, numpôdi, não pôde. Numpo-dia, não podia. Nuntem, não tem; não sou. Nuntinha, não era. — ""Num : vulg. no cont.",não,,166.0
1581,nun,nun,não,ˈnɐ̃w̃,no,adverb,,Portuguese-based creoles of Indian mainland,,"Num, nun, não. Numpodé, numpôdi, não pôde. Numpo-dia, não podia. Nuntem, não tem; não sou. Nuntinha, não era. — ""Num : vulg. no cont.",não,,166.0
1582,Numpodé,numpodeː,não pôde,,it can not,verb,,,,,não pôde,,
1583,numpôdi,numpoːdi,não pôde,,it can not,verb,,,,,não pôde,,
1584,Numpodia,numpodia,não podia,,could not,verb,,,,,não podia,,
1585,Nuntem,nuntem,"não tem, não sou",,"do not have, am not",verb,,,,,"não tem, não sou",,
1586,Nuntinha,nuntiɲa,não era,,wasn't it,verb,,,,,não era,,
1587,Numbro,numbɾo,número,,number,noun,Macao creole,Portuguese-based creoles of Indian mainland,,"Numbro, numero. Dial. mac. T. no cont.",numero,,166.0
1588,Nunca,nunka,nunca,ˈnũ.kɐ,never,adverb,Macao creole,,,"Nunca, nunco, nunca. T. partic. do per/, neg. Dial. mac.",nunca,,166.0
1589,nunco,nunko,nunca,ˈnũ.kɐ,never,adverb,Macao creole,,,"Nunca, nunco, nunca. T. partic. do per/, neg. Dial. mac.",nunca,,166.0
1590,Nuvè,nuʋeː,nuvem,ˈnu.vɐ.ɐ̃j̃,cloud,noun,Macao creole,,,"Nuvè, nuvem. Dial. mac. No Minho: nuve, nube.",nuvem,,166.0
1591,Ô,oː,ou,ow,or,conjunction,,,,"Ó, ou (t. us.).",ou,,166.0
1592,Obedicé,obediseː,obedecer,ɔ.bɨ.dɨ.ˈseɾ,obey,verb,,,,"Obedicé, obdecé, obedecer (t. us.). Obdicindo, obedecendo. Obedecencia, obede-cimento, obediência.",obedecer,,166.0
1593,obdecé,obdeseː,obedecer,ɔ.bɨ.dɨ.ˈseɾ,obey,verb,,,,"Obedicé, obdecé, obedecer (t. us.). Obdicindo, obedecendo. Obedecencia, obede-cimento, obediência.",obedecer,,166.0
1594,Obdicindo,obdisindo,obedecendo,,obeying,GER,,,,,obedecendo,,
1595,Obedecencia,obedesensia,obediência,,obedience,noun,,,,,obediência,,
1596,obedecimento,obedesimento,obediência,,obedience,noun,,,,,obediência,,
1597,Obre,obɾe,obra,ˈɔ.bɾɐ,artwork,noun,,,,"Obre, óber (fórm. mod.), obra.",obra,forma moderna,166.0
1598,óber,oːbeɾ,obra,ˈɔ.bɾɐ,artwork,noun,,,,"Obre, óber (fórm. mod.), obra.",obra,forma moderna,166.0
1599,Obração,obɾasaːo,operação,ɔ.pɨ.ɾɐ.ˈsɐ̃w̃,operation,noun,,,,"Obração, operação. — Deriv. reg. de obra.",operação,derivado,166.0
1600,Obraro,obɾaɾo,obreiro,,worker,noun,,,"O Bruffador, ii periódico","Obraro {Br. 2), obreiro. Cfr. ferraro.",obreiro,,166.0
1601,Obrigacè,obɾigaseː,obrigação,ɔ.bɾi.ɡɐ.ˈsɐ̃w̃,obligation,noun,,,"O Bruffador, i periódico","Obrigacè {Br. i), obrigação.",obrigação,,166.0
1602,Occidente,oksidente,"ocidente, ocidental",,west,noun,,,,"Occidente, occidente; occi-dental.","occidente, occidental",,166.0
1603,Octóber,oktoːbeɾ,outubro,,october,noun,English,,,"Octóber, outubro. — Ingl.",outubro,,166.0
1604,Ódia,oːdia,ódio,ˈɔ.dju,hate,noun,,,,"Ódia, ódio.",ódio,,166.0
1605,Offéncia,ofeːnsia,ofensa,,offense,noun,,,,"OfFéncia, offensa. Cfr. defenda, justicia.",offensa,,166.0
1606,Offercé,ofeɾseː,oferecer,ɔ.fɨ.ɾɨ.ˈseɾ,offer,verb,,,,"Ofifercé, ofFerecer. Offerci-mento (p. us.), oíferação (A''. J"".), oíFerça, offerço (mais us.), ofFerecimento, offerta.",oferecer,pouco usado,166.0
1607,Offercimento,ofeɾsimento,oferta,ɔ.ˈfɛɾ.tɐ,gift,noun,,,,,oferta,,
1608,offeração,ofeɾasaːo,oferta,ɔ.ˈfɛɾ.tɐ,gift,noun,,,,,oferta,,
1609,offerça,ofeɾsa,oferta,ɔ.ˈfɛɾ.tɐ,gift,noun,,,,,oferta,,
1610,offerço,ofeɾso,oferta,ɔ.ˈfɛɾ.tɐ,gift,noun,,,,,oferta,,
1611,Ófis,oːfis,"oficina, repartição",,"workshop, office",noun,English,,,"Office (pron. q/?5), officina, repartição. —Ingl.","officina, repartição",,166.0
1612,Ófiser,oːfizeɾ,oficial,,officer,adjective,English,,,"Offlcer, ofticial. — Ingl.",oficial,,166.0
1613,Officina,ofisina,"imprensa, tipografia",,"press, typography",noun,English,Old Portuguese,,"Ojficina, oíficio, offioia, of-fiço, imprensa, typographia. Officina: port. arch. Nos outros infl. do ingl. office.","imprensa, typographia",,167.0
1614,officio,ofisio,"imprensa, tipografia",,"press, typography",noun,English,Old Portuguese,,"Ojficina, oíficio, offioia, of-fiço, imprensa, typographia. Officina: port. arch. Nos outros infl. do ingl. office.","imprensa, typographia",,167.0
1615,officia,ofisia,"imprensa, tipografia",,"press, typography",noun,English,Old Portuguese,,"Ojficina, oíficio, offioia, of-fiço, imprensa, typographia. Officina: port. arch. Nos outros infl. do ingl. office.","imprensa, typographia",,167.0
